rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
84,00-0026158,QB,201.3618025349342,17,Joe Flacco,CIN
85,00-0033885,TE,200.6618663492881,17,David Njoku,
86,00-0039361,RB,199.49971238495507,18,Bucky Irving,TB
87,00-0034837,WR,198.54398466684546,17,Calvin Ridley,TEN
88,00-0038994,WR,198.3160787276767,18,Jordan Addison,MIN
89,00-0038117,WR,198.04013691647557,17,Wan'Dale Robinson,TEN
90,00-0036973,RB,197.86763942608195,17,Travis Etienne,NO
91,00-0036252,WR,194.18643849770365,17,Michael Pittman,PIT
92,00-0039152,QB,193.50871886447592,17,Will Levis,TEN
93,00-0039894,WR,192.36438667481744,20,Xavier Worthy,KC
94,00-0039851,QB,190.96433043239855,17,Drake Maye,NE
95,00-0027973,QB,189.75549410234876,17,Andy Dalton,PHI
96,00-0036259,WR,189.23337837194748,17,Jauan Jennings,SF
97,00-0039893,WR,188.99848222890242,17,Brian Thomas Jr.,JAC
98,00-0036875,RB,188.65183990768776,15,Rhamondre Stevenson,NE
99,00-0038129,TE,188.4084333678375,18,Cade Otton,TB
100,00-0036139,RB,187.29799982202073,17,Rico Dowdle,PIT
101,00-0039150,QB,186.77733651489538,17,Bryce Young,CAR
102,00-0036971,QB,185.9478246222554,13,Trevor Lawrence,JAC
103,00-0034960,WR,185.57995028370442,15,Jakobi Meyers,JAC
104,00-0036407,WR,184.8396060017423,17,Jerry Jeudy,CLE
105,00-0039849,WR,183.8820435361973,17,Marvin Harrison Jr.,ARI
106,00-0038041,TE,183.85267573077857,17,Jake Ferguson,DAL
107,00-0036550,WR,182.641530813935,19,Rashod Bateman,BAL
108,00-0038997,WR,182.58237543708483,17,Josh Downs,IND
109,00-0038933,TE,181.901639414258,20,Dalton Kincaid,BUF
110,00-0039165,RB,177.74068255584652,17,Zach Charbonnet,SEA
111,00-0038476,QB,177.011197839452,17,Tommy DeVito,NE
112,00-0039901,WR,176.63386530870758,20,Keon Coleman,BUF
113,00-0030061,TE,176.14975490546425,20,Zach Ertz,WAS
114,00-0037013,QB,175.7067202003062,18,Zach Wilson,NO
115,00-0035100,QB,175.57015397985157,17,Jake Browning,TB
116,00-0038102,QB,174.62516031855597,21,Kenny Pickett,CAR
117,00-0039146,WR,174.37568706135417,18,Jayden Reed,GB
118,00-0038128,QB,174.3168060246972,18,Malik Willis,MIA
119,00-0034975,RB,172.51795909988908,19,Justice Hill,BAL
120,00-0032775,WR,170.94295465190677,19,Demarcus Robinson,SF
121,00-0034407,WR,170.7106170817075,17,Ray-Ray McCloud,NYG
122,00-0038977,WR,170.3976793659323,16,Tank Dell,HOU
123,00-0036613,WR,168.44854280824498,17,Jaylen Waddle,DEN
