rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
438,00-0039364,RB,41.01421605771049,15,Sione Vaki,DET
439,00-0039386,WR,40.60883925970113,9,Bub Means,NO
440,00-0039916,WR,40.593279616125855,6,Ricky Pearsall,SF
441,00-0039359,TE,40.540514938787005,15,Cade Stover,HOU
442,00-0037156,WR,39.62944330750959,14,Irvin Charles,
443,00-0038454,RB,39.56571438509656,6,Keaton Mitchell,LAC
444,00-0038783,TE,39.32941188775615,18,Nate Adkins,DEN
445,00-0031941,WR,38.509567974566295,9,Jamison Crowder,
446,00-0035891,WR,38.382974630194276,6,Cody White,SEA
447,00-0031235,WR,38.285668085437415,9,Odell Beckham,
448,00-0037004,TE,38.00644728068069,18,Hunter Long,JAC
449,00-0037617,RB,37.59326076802377,15,Hassan Haskins,LAC
450,00-0038611,RB,36.80882272906625,9,Chris Rodriguez,JAC
451,00-0039912,TE,36.216901066350715,20,Ben Sinnott,WAS
452,00-0031428,WR,35.7739899162689,10,Allen Robinson,
453,00-0033357,TE,35.29204858010135,8,Taysom Hill,NO
454,00-0037742,WR,35.09068689526268,6,Treylon Burks,WAS
455,00-0036741,TE,33.55449899885072,11,Jack Stoll,CLE
456,00-0030035,WR,33.402386149442975,4,Adam Thielen,
457,00-0035973,RB,33.289867127795574,10,Patrick Taylor,SF
458,00-0035215,WR,31.98744537145226,7,Deonte Harty,
459,00-0034419,WR,31.67284308714789,7,Braxton Berrios,HOU
460,00-0038519,WR,30.96498044814903,7,Nikko Remigio,KC
461,00-0038612,WR,30.44208484096189,5,A.T. Perry,PIT
462,00-0032398,WR,29.9606650932286,6,Chris Moore,WAS
463,00-0037745,RB,29.48557160158543,6,Velus Jones,SEA
464,00-0037348,WR,28.659053335292242,10,Tanner Conner,NYG
465,00-0039589,WR,28.522908880861713,7,Kameron Johnson,TB
466,00-0039739,WR,28.173008821400067,6,Roman Wilson,PIT
467,00-0034054,WR,28.032604136642338,8,River Cracraft,WAS
468,00-0034073,TE,27.39432431053336,17,Ross Dwelley,CAR
469,00-0038090,WR,27.381159317956374,7,Skyy Moore,GB
470,00-0039393,RB,27.287715518742385,10,Jase McClellan,
471,00-0036862,WR,27.23560357713701,8,Ben Skowronek,PIT
472,00-0039415,WR,26.320768821682627,6,Brenden Rice,LV
473,00-0039144,TE,25.913214366539002,7,Luke Musgrave,GB
474,00-0036620,WR,25.746060152991884,7,Dee Eskridge,MIA
475,00-0032156,QB,25.64963738241648,3,Trevor Siemian,TEN
476,00-0036332,TE,25.523142596764448,14,Josiah Deguara,ARI
477,00-0039737,TE,24.88138337117844,17,Tip Reiman,ARI
478,00-0037300,WR,23.948980549184824,4,Michael Woods,GB
479,00-0039754,TE,23.923090044796634,18,Devin Culp,TB
480,00-0036877,WR,23.873279650563326,7,Jaelon Darden,
481,00-0033110,TE,23.71837215460334,4,Tyler Higbee,LAR
482,00-0036331,WR,23.432481375594136,6,Devin Duvernay,ARI
483,00-0037306,TE,23.330155704704985,11,John FitzPatrick,GB
484,00-0037569,TE,22.708823207109376,9,Peyton Hendershot,
485,00-0039703,RB,22.441414643125164,8,Cody Schrader,DEN
486,00-0034777,WR,22.439628306712482,5,D.J. Chark,
487,00-0036955,WR,20.83506121135364,5,Terrace Marshall,MIA
